Cod;Mun;idh2000;idhRenda2000;idhEduc2000;idhLongev;idh1991;idhRenda1991;idhEduc1991;idhLongev1991
330010;Angra dos Reis (RJ);0,788720494;0,71055225;0,868917092;0,786692139;0,720875776;0,658372125;0,7977447;0,706510503
330015;Aperibé (RJ);0,752564685;0,660706027;0,866558445;0,730429584;0,676248247;0,572808475;0,756062086;0,699874179
330020;Araruama (RJ);0,751951259;0,672441601;0,827848829;0,755563347;0,671638836;0,618578025;0,719946215;0,676392267
330022;Areal (RJ);0,77503025;0,72819302;0,905364133;0,691533597;0,695975938;0,605111623;0,767547432;0,71526876
330023;Armação de Búzios (RJ);0,7703591;0,703828006;0,834667623;0,772581671;0,689114633;0,669861744;0,745242217;0,65223994
330025;Arraial do Cabo (RJ);0,790042945;0,72663833;0,912364916;0,731125587;0,723144079;0,65826113;0,810871634;0,700299473
330030;Barra do Piraí (RJ);0,790037632;0,740900604;0,889160752;0,74005154;0,722762441;0,659822519;0,822669702;0,685795103
330040;Barra Mansa (RJ);0,799877064;0,722499097;0,894553157;0,782578937;0,738244215;0,656221667;0,837432054;0,721078925
330045;Belford Roxo (RJ);0,743243631;0,66730094;0,870896357;0,691533597;0,670453336;0,594040816;0,787012832;0,630306359
330050;Bom Jardim (RJ);0,732362743;0,642315162;0,864544891;0,690228174;0,652429993;0,633920025;0,679824713;0,643545241
330060;Bom Jesus do Itabapoana (RJ);0,736988217;0,659040094;0,843637223;0,708287336;0,661167716;0,596794629;0,754495176;0,632213343
330070;Cabo Frio (RJ);0,787156958;0,702128852;0,859163759;0,800178262;0,71656972;0,661150892;0,788258794;0,700299473
330080;Cachoeiras de Macacu (RJ);0,738781526;0,645432151;0,845216255;0,725696173;0,664270192;0,594449034;0,713343848;0,685017695
330090;Cambuci (RJ);0,732410882;0,68545647;0,828854129;0,682922046;0,65446583;0,597156691;0,690910369;0,675330429
330100;Campos dos Goytacazes (RJ);0,763157745;0,707829041;0,823611568;0,758032625;0,68394166;0,648260726;0,77823997;0,625324283
330110;Cantagalo (RJ);0,753209615;0,689762746;0,878458761;0,691407339;0,676388382;0,629656982;0,741942391;0,657565772
330093;Carapebus (RJ);0,729932479;0,640292072;0,809671265;0,739834101;0,649210381;0,580485988;0,704613248;0,662531908
330115;Cardoso Moreira (RJ);0,679224215;0,635825097;0,782272819;0,61957473;0,583627245;0,506399772;0,596471776;0,648010185
330120;Carmo (RJ);0,739043839;0,683893351;0,843009992;0,690228174;0,666753153;0,611368999;0,726220641;0,662669819
330130;Casimiro de Abreu (RJ);0,772233259;0,711014744;0,833103363;0,772581671;0,693135459;0,633339937;0,744159626;0,701906813
330095;Comendador Levy Gasparian (RJ);0,770739303;0,707134223;0,897387571;0,707696114;0,691860524;0,595039157;0,765273654;0,71526876
330140;Conceição de Macabu (RJ);0,741208237;0,667523361;0,821664149;0,7344372;0,669234757;0,600493072;0,765443229;0,641767969
330150;Cordeiro (RJ);0,782190263;0,702530432;0,892988129;0,751052229;0,711832579;0,661244695;0,816687269;0,657565772
330160;Duas Barras (RJ);0,710062749;0,626982831;0,804015738;0,69918968;0,608958082;0,587495879;0,663159609;0,576218758
330170;Duque de Caxias (RJ);0,776956903;0,731397447;0,826891593;0,772581671;0,70023422;0,634778151;0,796434585;0,669489925
330180;Engenheiro Paulo de Frontin (RJ);0,768106757;0,691995233;0,888526715;0,723798324;0,68844726;0,601305863;0,791299417;0,672736501
330185;Guapimirim (RJ);0,722748343;0,63705707;0,793984246;0,737203713;0,638799069;0,601408137;0,72166917;0,5933199
330187;Iguaba Grande (RJ);0,781465709;0,717340748;0,858807007;0,768249373;0,707788325;0,625897212;0,797168289;0,700299473
330190;Itaboraí (RJ);0,733108049;0,656377282;0,784024249;0,758922615;0,656991152;0,599086442;0,742318553;0,629568463
330200;Itaguaí (RJ);0,7655748;0,692200941;0,85347123;0,751052229;0,684777177;0,623668448;0,778900734;0,651762348
330205;Italva (RJ);0,734404284;0,659818579;0,794109137;0,749285135;0,659556242;0,600238598;0,719304537;0,65912559
330210;Itaocara (RJ);0,759263224;0,683876518;0,881603106;0,712310049;0,680853196;0,606607486;0,736077921;0,699874179
330220;Itaperuna (RJ);0,781147549;0,710031822;0,906224435;0,72718639;0,707729557;0,664513141;0,75625036;0,702425169
330225;Itatiaia (RJ);0,805548191;0,717074716;0,912871539;0,786698319;0,750018556;0,689306752;0,805395073;0,755353844
330227;Japeri (RJ);0,723039716;0,631411698;0,784728139;0,752979311;0,640460572;0,571205136;0,724116885;0,626059693
330230;Laje do Muriaé (RJ);0,718145915;0,665271089;0,79763306;0,691533597;0,627187107;0,551852375;0,697495604;0,632213343
330240;Macaé (RJ);0,795800364;0,687942217;0,910489155;0,788969719;0,728901329;0,718546705;0,805625373;0,662531908
330245;Macuco (RJ);0,74193539;0,694362865;0,801013722;0,730429584;0,670339816;0,608984125;0,7950984;0,606936923
330250;Magé (RJ);0,737275984;0,659909107;0,80188085;0,750037996;0,662535817;0,589764146;0,758045818;0,639797488
330260;Mangaratiba (RJ);0,780295537;0,700537014;0,876365627;0,763983972;0,70622439;0,649807814;0,79044399;0,678421365
330270;Maricá (RJ);0,788278206;0,723863304;0,932756035;0,70821528;0,720831038;0,662351588;0,772795166;0,72734636
330280;Mendes (RJ);0,774029006;0,682715836;0,895213603;0,744157579;0,694387877;0,631293418;0,79867002;0,653200194
330290;Miguel Pereira (RJ);0,777119668;0,764071418;0,875753988;0,691533597;0,703902214;0,671616038;0,789739394;0,650351211
330300;Miracema (RJ);0,740591823;0,659807822;0,851481828;0,710485819;0,667613863;0,606980677;0,749215219;0,646645692
330310;Natividade (RJ);0,733199811;0,689444098;0,788259187;0,721896148;0,659475308;0,609715977;0,736496604;0,632213343
330320;Nilópolis (RJ);0,804100098;0,772801469;0,888446598;0,751052229;0,742227825;0,667519168;0,874151703;0,685012603
